GO.ID	Term	Annotated	Significant	Expected	Fisher	fdr
1	GO:0006082	organic acid metabolic process	299	34	9.21	1.1e-11	1.1924e-08
2	GO:0044281	small molecule metabolic process	478	44	14.72	1.6e-10	8.672e-08
3	GO:0006520	cellular amino acid metabolic process	154	19	4.74	1.4e-07	5.05866666666667e-05
4	GO:0006457	protein folding	88	10	2.71	0.00012	0.03252
5	GO:0072521	purine-containing compound metabolic pro...	90	10	2.77	0.00017	0.03252
6	GO:0046939	nucleotide phosphorylation	43	6	1.32	0.00018	0.03252
7	GO:0034660	ncRNA metabolic process	108	7	3.33	0.00025	0.03523
8	GO:0006753	nucleoside phosphate metabolic process	112	10	3.45	0.00026	0.03523
9	GO:0016052	carbohydrate catabolic process	51	9	1.57	0.00030	0.0361333333333333
10	GO:0044283	small molecule biosynthetic process	149	14	4.59	0.00042	0.045528
11	GO:0006091	generation of precursor metabolites and ...	105	10	3.23	0.00072	0.0709527272727273
12	GO:0006950	response to stress	258	11	7.95	0.00098	0.0885266666666667
13	GO:0008610	lipid biosynthetic process	157	11	4.84	0.00146	0.121741538461538
14	GO:0016053	organic acid biosynthetic process	115	11	3.54	0.00164	0.126982857142857
15	GO:0045454	cell redox homeostasis	100	4	3.08	0.00222	0.160432
16	GO:0005975	carbohydrate metabolic process	349	21	10.75	0.00251	0.1700525
17	GO:0044272	sulfur compound biosynthetic process	26	4	0.8	0.00341	0.217437647058824
18	GO:0046034	ATP metabolic process	77	8	2.37	0.00410	0.23848
19	GO:0019693	ribose phosphate metabolic process	85	7	2.62	0.00423	0.23848
20	GO:0019637	organophosphate metabolic process	206	14	6.34	0.00440	0.23848
21	GO:0055086	nucleobase-containing small molecule met...	134	11	4.13	0.00632	0.326232380952381
22	GO:0000096	sulfur amino acid metabolic process	11	3	0.34	0.00679	0.334561818181818
23	GO:1901606	alpha-amino acid catabolic process	9	3	0.28	0.00769	0.362433043478261
24	GO:0008213	protein alkylation	25	3	0.77	0.01012	0.4518112
25	GO:0006790	sulfur compound metabolic process	47	5	1.45	0.01042	0.4518112
26	GO:0008152	metabolic process	4561	154	140.46	0.01301	0.542416923076923
27	GO:0065008	regulation of biological quality	129	4	3.97	0.01445	0.569660689655172
28	GO:0006418	tRNA aminoacylation for protein translat...	43	4	1.32	0.01472	0.569660689655172
29	GO:1901575	organic substance catabolic process	192	12	5.91	0.01524	0.569660689655172
30	GO:1901615	organic hydroxy compound metabolic proce...	33	4	1.02	0.01843	0.657393548387097
31	GO:0006508	proteolysis	337	15	10.38	0.01880	0.657393548387097
32	GO:0072593	reactive oxygen species metabolic proces...	8	2	0.25	0.02042	0.689489696969697
33	GO:1901293	nucleoside phosphate biosynthetic proces...	61	4	1.88	0.02099	0.689489696969697
34	GO:0009063	cellular amino acid catabolic process	9	3	0.28	0.02272	0.724367058823529
35	GO:0072522	purine-containing compound biosynthetic ...	44	4	1.36	0.02579	0.797643333333333
36	GO:0051668	localization within membrane	32	2	0.99	0.02649	0.797643333333333
37	GO:0009451	RNA modification	40	3	1.23	0.02773	0.801366829268293
38	GO:0046031	ADP metabolic process	38	6	1.17	0.02884	0.801366829268293
39	GO:0072525	pyridine-containing compound biosyntheti...	12	2	0.37	0.02909	0.801366829268293
40	GO:0010629	negative regulation of gene expression	19	2	0.59	0.02989	0.801366829268293
41	GO:0005976	polysaccharide metabolic process	47	4	1.45	0.03031	0.801366829268293
42	GO:0006354	DNA-templated transcription, elongation	6	1	0.18	0.03151	0.813258095238095
43	GO:0006020	inositol metabolic process	6	2	0.18	0.03414	0.860548181818182
44	GO:0008299	isoprenoid biosynthetic process	28	3	0.86	0.03493	0.860548181818182
45	GO:0072657	protein localization to membrane	30	2	0.92	0.03999	0.963314666666667
46	GO:0072524	pyridine-containing compound metabolic p...	12	2	0.37	0.04278	1
47	GO:0044282	small molecule catabolic process	28	5	0.86	0.04440	1
48	GO:0006081	cellular aldehyde metabolic process	11	2	0.34	0.04480	1
49	GO:0022613	ribonucleoprotein complex biogenesis	55	3	1.69	0.04572	1
50	GO:1901135	carbohydrate derivative metabolic proces...	200	11	6.16	0.04636	1
51	GO:0010608	post-transcriptional regulation of gene ...	7	1	0.22	0.05028	1
52	GO:0006310	DNA recombination	38	3	1.17	0.05101	1
53	GO:0009056	catabolic process	211	12	6.5	0.05165	1
54	GO:0043414	macromolecule methylation	37	3	1.14	0.05314	1
55	GO:0090407	organophosphate biosynthetic process	120	7	3.7	0.05873	1
56	GO:0000097	sulfur amino acid biosynthetic process	9	2	0.28	0.05874	1
