GO.ID	Term	Annotated	Significant	Expected	Fisher	fdr
1	GO:0005730	nucleolus	6	2	0.13	0.0040	0.5775
2	GO:0030312	external encapsulating structure	49	5	1.07	0.0042	0.5775
3	GO:0005783	endoplasmic reticulum	75	4	1.64	0.0213	1
4	GO:0005576	extracellular region	29	3	0.63	0.0257	1
5	GO:0033178	proton-transporting two-sector ATPase co...	23	2	0.5	0.0376	1
6	GO:0031981	nuclear lumen	61	2	1.33	0.0627	1
7	GO:0071944	cell periphery	103	5	2.25	0.0779	1
8	GO:0016020	membrane	1393	37	30.41	0.0866	1
9	GO:0000796	condensin complex	4	1	0.09	0.0924	1
10	GO:0031224	intrinsic component of membrane	644	19	14.06	0.1085	1
11	GO:1990904	ribonucleoprotein complex	67	2	1.46	0.1129	1
12	GO:0009538	photosystem I reaction center	8	1	0.17	0.1193	1
13	GO:0005732	sno(s)RNA-containing ribonucleoprotein c...	5	1	0.11	0.1447	1
14	GO:0000275	mitochondrial proton-transporting ATP sy...	4	1	0.09	0.1481	1
15	GO:0016469	proton-transporting two-sector ATPase co...	48	2	1.05	0.1519	1
16	GO:0045261	proton-transporting ATP synthase complex...	11	1	0.24	0.1591	1
17	GO:0043228	non-membrane-bounded organelle	537	10	11.72	0.1675	1
18	GO:0043232	intracellular non-membrane-bounded organ...	537	10	11.72	0.1682	1
19	GO:0099513	polymeric cytoskeletal fiber	27	1	0.59	0.1837	1
20	GO:0019866	organelle inner membrane	28	1	0.61	0.1905	1
21	GO:0098798	mitochondrial protein-containing complex	24	1	0.52	0.2048	1
22	GO:0048500	signal recognition particle	10	1	0.22	0.2099	1
23	GO:0110165	cellular anatomical entity	2865	64	62.54	0.2241	1
24	GO:0005874	microtubule	24	1	0.52	0.2264	1
25	GO:0098800	inner mitochondrial membrane protein com...	20	1	0.44	0.2710	1
26	GO:0043233	organelle lumen	73	2	1.59	0.2714	1
27	GO:0070013	intracellular organelle lumen	73	2	1.59	0.2717	1
28	GO:0005753	mitochondrial proton-transporting ATP sy...	8	1	0.17	0.2759	1
29	GO:0044815	DNA packaging complex	36	1	0.79	0.2822	1
30	GO:0031966	mitochondrial membrane	40	1	0.87	0.3008	1
31	GO:0009522	photosystem I	17	1	0.37	0.3091	1
32	GO:0048046	apoplast	20	3	0.44	0.3120	1
33	GO:0012505	endomembrane system	133	4	2.9	0.3459	1
34	GO:0019867	outer membrane	18	1	0.39	0.3859	1
35	GO:0005739	mitochondrion	100	2	2.18	0.4553	1
36	GO:0005737	cytoplasm	463	11	10.11	0.4637	1
37	GO:0099080	supramolecular complex	29	1	0.63	0.4823	1
38	GO:0005694	chromosome	85	2	1.86	0.4873	1
39	GO:0031974	membrane-enclosed lumen	73	2	1.59	0.4897	1
40	GO:0031967	organelle envelope	60	1	1.31	0.5785	1
41	GO:0045259	proton-transporting ATP synthase complex	17	1	0.37	0.5878	1
42	GO:0072588	box H/ACA RNP complex	3	1	0.07	0.6000	1
43	GO:0009579	thylakoid	61	1	1.33	0.6110	1
44	GO:0009521	photosystem	55	1	1.2	0.6299	1
45	GO:0005740	mitochondrial envelope	45	1	0.98	0.6316	1
46	GO:0005743	mitochondrial inner membrane	27	1	0.59	0.6585	1
47	GO:0015630	microtubule cytoskeleton	103	1	2.25	0.7007	1
48	GO:0140513	nuclear protein-containing complex	133	1	2.9	0.7034	1
49	GO:0031975	envelope	60	1	1.31	0.7458	1
50	GO:0005840	ribosome	297	5	6.48	0.7469	1
51	GO:0016021	integral component of membrane	636	19	13.88	0.7859	1
52	GO:0034357	photosynthetic membrane	57	1	1.24	0.7903	1
53	GO:0043231	intracellular membrane-bounded organelle	801	10	17.48	0.7968	1
54	GO:0043227	membrane-bounded organelle	802	10	17.51	0.7987	1
