GO.ID	Term	Annotated	Significant	Expected	Fisher	fdr
1	GO:1901576	organic substance biosynthetic process	1609	31	23.09	0.0067	1
2	GO:0044249	cellular biosynthetic process	1574	30	22.59	0.0113	1
3	GO:0006811	ion transport	187	6	2.68	0.0172	1
4	GO:0009058	biosynthetic process	1675	31	24.04	0.0215	1
5	GO:0010467	gene expression	1367	28	19.62	0.0257	1
6	GO:0009719	response to endogenous stimulus	66	4	0.95	0.0284	1
7	GO:0046486	glycerolipid metabolic process	55	3	0.79	0.0289	1
8	GO:0007059	chromosome segregation	20	2	0.29	0.0292	1
9	GO:0045017	glycerolipid biosynthetic process	39	3	0.56	0.0366	1
10	GO:0006518	peptide metabolic process	415	10	5.96	0.0392	1
11	GO:0042221	response to chemical	78	4	1.12	0.0495	1
12	GO:0044271	cellular nitrogen compound biosynthetic ...	1291	26	18.53	0.0530	1
13	GO:0009059	macromolecule biosynthetic process	1233	25	17.69	0.0576	1
14	GO:0043170	macromolecule metabolic process	3000	46	43.05	0.0623	1
15	GO:0006353	DNA-templated transcription, termination	4	1	0.06	0.0724	1
16	GO:0051321	meiotic cell cycle	4	1	0.06	0.0724	1
17	GO:1903046	meiotic cell cycle process	3	1	0.04	0.0769	1
18	GO:0042180	cellular ketone metabolic process	6	1	0.09	0.0786	1
19	GO:0022414	reproductive process	34	2	0.49	0.0850	1
20	GO:0000003	reproduction	34	2	0.49	0.0850	1
21	GO:0000103	sulfate assimilation	4	1	0.06	0.0851	1
22	GO:0034645	cellular macromolecule biosynthetic proc...	477	11	6.85	0.0895	1
23	GO:0006812	cation transport	127	6	1.82	0.0944	1
24	GO:0000160	phosphorelay signal transduction system	34	2	0.49	0.0971	1
25	GO:0034641	cellular nitrogen compound metabolic pro...	1803	30	25.87	0.1010	1
26	GO:0072593	reactive oxygen species metabolic proces...	8	1	0.11	0.1052	1
27	GO:0006412	translation	401	10	5.75	0.1101	1
28	GO:0032886	regulation of microtubule-based process	7	1	0.1	0.1115	1
29	GO:0045229	external encapsulating structure organiz...	35	2	0.5	0.1128	1
30	GO:0031109	microtubule polymerization or depolymeri...	4	1	0.06	0.1212	1
31	GO:0019219	regulation of nucleobase-containing comp...	659	12	9.46	0.1362	1
32	GO:0071554	cell wall organization or biogenesis	48	2	0.69	0.1365	1
33	GO:0043603	cellular amide metabolic process	424	10	6.08	0.1447	1
34	GO:0050794	regulation of cellular process	1032	18	14.81	0.1492	1
35	GO:0051301	cell division	12	1	0.17	0.1507	1
36	GO:0006497	protein lipidation	14	1	0.2	0.1594	1
37	GO:0140013	meiotic nuclear division	3	1	0.04	0.1667	1
38	GO:0007154	cell communication	279	6	4	0.1727	1
39	GO:0070507	regulation of microtubule cytoskeleton o...	7	1	0.1	0.1750	1
40	GO:0051493	regulation of cytoskeleton organization	14	1	0.2	0.1772	1
41	GO:0006952	defense response	24	1	0.34	0.1777	1
42	GO:1901566	organonitrogen compound biosynthetic pro...	651	13	9.34	0.1797	1
43	GO:0050789	regulation of biological process	1067	19	15.31	0.1819	1
44	GO:0042558	pteridine-containing compound metabolic ...	14	1	0.2	0.1849	1
45	GO:0043043	peptide biosynthetic process	404	10	5.8	0.1857	1
46	GO:0006644	phospholipid metabolic process	66	2	0.95	0.1858	1
47	GO:0019222	regulation of metabolic process	710	13	10.19	0.1863	1
48	GO:0006310	DNA recombination	38	1	0.55	0.1939	1
49	GO:0050896	response to stimulus	573	11	8.22	0.1961	1
50	GO:0080090	regulation of primary metabolic process	673	12	9.66	0.1979	1
51	GO:0016070	RNA metabolic process	1005	17	14.42	0.2016	1
52	GO:1903509	liposaccharide metabolic process	21	1	0.3	0.2024	1
53	GO:0042559	pteridine-containing compound biosynthet...	12	1	0.17	0.2103	1
54	GO:0033043	regulation of organelle organization	22	1	0.32	0.2114	1
55	GO:0065007	biological regulation	1095	19	15.71	0.2142	1
56	GO:0008654	phospholipid biosynthetic process	47	2	0.67	0.2262	1
57	GO:0007165	signal transduction	244	5	3.5	0.2320	1
58	GO:0042157	lipoprotein metabolic process	18	1	0.26	0.2379	1
59	GO:0042158	lipoprotein biosynthetic process	14	1	0.2	0.2407	1
60	GO:0048285	organelle fission	25	1	0.36	0.2429	1
61	GO:0006575	cellular modified amino acid metabolic p...	20	1	0.29	0.2444	1
62	GO:0051171	regulation of nitrogen compound metaboli...	673	12	9.66	0.2503	1
63	GO:0032984	protein-containing complex disassembly	23	1	0.33	0.2527	1
64	GO:0031323	regulation of cellular metabolic process	678	12	9.73	0.2558	1
65	GO:0006470	protein dephosphorylation	80	2	1.15	0.2562	1
66	GO:0016311	dephosphorylation	80	2	1.15	0.2587	1
67	GO:0009141	nucleoside triphosphate metabolic proces...	29	1	0.42	0.2589	1
68	GO:0044267	cellular protein metabolic process	1548	23	22.21	0.2593	1
69	GO:0060255	regulation of macromolecule metabolic pr...	702	13	10.07	0.2617	1
70	GO:0043604	amide biosynthetic process	408	10	5.85	0.2718	1
71	GO:0023052	signaling	244	5	3.5	0.2721	1
72	GO:0048193	Golgi vesicle transport	34	1	0.49	0.2742	1
73	GO:0042398	cellular modified amino acid biosyntheti...	16	1	0.23	0.2771	1
74	GO:0006415	translational termination	13	1	0.19	0.2775	1
75	GO:0046034	ATP metabolic process	77	2	1.1	0.2816	1
76	GO:0046467	membrane lipid biosynthetic process	17	1	0.24	0.2827	1
77	GO:0009247	glycolipid biosynthetic process	17	1	0.24	0.2864	1
78	GO:0009733	response to auxin	49	4	0.7	0.2940	1
79	GO:0008610	lipid biosynthetic process	157	4	2.25	0.3003	1
80	GO:0019538	protein metabolic process	1811	27	25.99	0.3039	1
81	GO:0008202	steroid metabolic process	26	1	0.37	0.3049	1
82	GO:0008037	cell recognition	28	1	0.4	0.3173	1
83	GO:0006807	nitrogen compound metabolic process	3302	47	47.38	0.3283	1
84	GO:0022411	cellular component disassembly	23	1	0.33	0.3414	1
85	GO:0019438	aromatic compound biosynthetic process	880	16	12.63	0.3430	1
86	GO:1901362	organic cyclic compound biosynthetic pro...	925	17	13.27	0.3447	1
87	GO:0018130	heterocycle biosynthetic process	884	16	12.69	0.3561	1
88	GO:0051128	regulation of cellular component organiz...	26	1	0.37	0.3639	1
89	GO:0009260	ribonucleotide biosynthetic process	39	1	0.56	0.3645	1
90	GO:0090407	organophosphate biosynthetic process	120	3	1.72	0.3787	1
91	GO:0008033	tRNA processing	41	1	0.59	0.3796	1
92	GO:0006694	steroid biosynthetic process	25	1	0.36	0.3840	1
93	GO:0000226	microtubule cytoskeleton organization	33	1	0.47	0.3882	1
94	GO:0006643	membrane lipid metabolic process	27	1	0.39	0.3932	1
95	GO:0006164	purine nucleotide biosynthetic process	43	1	0.62	0.3981	1
